system_time,camera_time,pos_x_cm,pos_y_cm,pos_z_cm,roll_deg,pitch_deg,yaw_deg,detection_confidence
1742380408.6487267,8892.7669,461.2240930243895,2.3613501213036168,3331.053054883009,178.1906787742109,-25.16113348921465,81.8292696868806,0.025319761669089075
1742380408.8232458,8892.938941,105.39942111425201,-250.5148823602739,3109.702003221437,169.89030840762615,-35.5135397018088,89.93706251919741,0.024034054600680834
1742380408.9935622,8893.111017000001,-235.71638883591538,-148.58761428390594,2970.981741520481,-156.61550889640174,7.113173082992618,83.91441246161259,0.02259488474233312
1742380409.1676338,8893.282902,-174.1018661368684,318.01382229083697,2968.855157064641,-151.85419063118496,-0.22961232390984193,74.64702353694035,0.02302637935692961
1742380409.3419235,8893.458896,142.44101280017608,577.9844647988258,3394.021724639679,-171.44536648874927,-13.278690889200965,75.38658835300807,0.02556613236469462
1742380409.507931,8893.630938999999,280.4743299872462,357.6017348563611,3342.6126472448286,-177.25872905164945,-20.032799324607335,77.64488446077635,0.025242012065986818
1742380409.6803923,8893.802892000002,148.40691938935902,167.2396835223453,3185.9284082786967,171.50728872521623,-24.072648287383657,83.5274757036733,0.02415257887543056
1742380409.8560004,8893.978902,-7.288932774294741,151.30862525420113,3353.642271933824,173.20082925851733,-5.797209778138932,79.50975121126669,0.023979384666581963
1742380410.033696,8894.151047,62.40697587029415,129.85097577757733,3513.0546271580565,-177.3362121359433,-16.952918620990527,79.29896266075576,0.025582609321924812
1742380410.2070742,8894.322946,24.498351287208035,18.728575651726135,3718.1607178377085,174.58793040458812,-22.613012007806795,83.30691875146263,0.027377180015945236
1742380410.3779557,8894.498884999999,-180.45792566920932,-168.00987292798234,4280.967837903245,-177.54882200167543,22.903422183297447,84.79215800971647,0.03167322296646972
1742380410.5500045,8894.670926,-324.4230775861972,-401.74903034703925,4878.253238961868,-178.0849077792078,-23.730078634175655,87.45794353810143,0.03537303619662677
1742380410.7193894,8894.842938,-356.1187847706397,-603.6300576810756,5340.708850525241,-172.47165376621504,-16.325519941571304,86.6234166477467,0.03825067481921528
